timestamp,Panther_education_Teofila,Panther_education_Jerome,Panther_education_Misty,Panther_education_Tina,Panther_education_Janis,Panther_education_Quintin,Panther_education_Violet,Panther_education_Edna,Panther_education_Sophia,Panther_education_Hugh,Panther_education_Annetta,Panther_education_Ivan,Panther_education_Alecia,Panther_education_Rosalie,Panther_education_Jonathan
2016-07-01 00:00:00,98.9641,437.2844,40.3278,7.8015,16.1211,133.4258,150.429,104.0201,142.0274,585.393,80.1155,104.6602,184.8357,71.4138,4.7039
2016-07-01 01:00:00,94.8923,432.1834,39.5276,8.6017,15.1729,133.4258,155.2299,106.0205,141.6273,586.7932,86.1166,107.5408,180.0347,74.4144,4.7019
2016-07-01 02:00:00,96.5086,424.582,40.2478,5.5011,14.6738,133.4258,154.5898,104.2201,141.6273,587.9535,85.9166,99.1391,179.6347,74.2143,4.7359
2016-07-01 03:00:00,96.4876,424.4819,40.9679,7.4014,13.8517,133.4258,150.429,100.0193,141.2273,585.0329,85.4165,102.0197,179.2346,72.414,4.5949
2016-07-01 04:00:00,97.2418,419.981,39.6076,7.4014,14.2317,133.4258,144.0278,104.6202,142.0274,586.6332,88.31700000000001,98.659,178.4344,71.4138,4.5549
2016-07-01 05:00:00,123.3848,422.1815,40.0877,4.1008,13.4856,133.4258,146.5883,95.8185,142.0274,590.634,98.219,104.6602,178.8345,71.6138,4.4328
2016-07-01 06:00:00,163.3755,423.7818,40.9679,5.001,12.6824,133.4258,146.5883,112.2217,140.02700000000002,587.1933,113.5219,108.0208,273.2527,72.61399999999999,4.3048
2016-07-01 07:00:00,141.9644,420.2811,39.6876,5.001,13.5906,133.4258,154.2698,118.8229,137.6266,591.1141,109.4211,153.1496,300.8581,69.6134,4.1378
2016-07-01 08:00:00,139.91299999999998,452.3873,42.7283,7.2014,17.3633,133.4258,168.3525,128.6248,140.02700000000002,588.1935,103.62,160.591,310.86,69.8135,4.1688
2016-07-01 09:00:00,149.7289,488.9944,54.0104,8.0015,21.6042,133.4258,168.6726,133.8258,148.4287,596.115,110.3213,147.8685,318.8615,68.6133,4.5009
2016-07-01 10:00:00,167.2933,509.3983,38.8075,7.0013,27.9254,133.4258,180.5148,136.6264,160.0309,609.3176,112.6217,156.0301,310.4599,71.6138,6.3962
2016-07-01 11:00:00,166.4481,507.3979,38.2474,11.5022,32.7663,133.4258,192.0371,136.2263,157.2303,628.3613,118.5229,164.1917,337.6652,72.0139,6.5143
2016-07-01 12:00:00,154.7369,527.1017,38.7275,11.6022,30.0858,133.4258,188.1963,140.02700000000002,152.4294,628.2412,117.4226,172.1132,336.0648,73.8142,6.9834
2016-07-01 13:00:00,160.9481,528.802,38.8075,11.9023,31.286,133.4258,192.0371,137.2265,151.2292,631.3218,104.4201,159.3908,329.2635,74.2143,7.1484
2016-07-01 14:00:00,152.4624,523.9011,38.4074,15.603,30.805999999999997,133.4258,195.5577,135.2261,149.6289,631.7619,101.2195,151.4692,330.0637,75.0145,7.7085
2016-07-01 15:00:00,154.3228,525.9015,38.7275,15.2029,29.6457,133.4258,183.3954,133.6258,148.0286,629.2814,111.8216,152.9095,324.8627,75.4146,6.8693
2016-07-01 16:00:00,145.5391,525.0013,38.5674,17.1033,27.1252,133.4258,180.1948,130.4252,147.6285,633.2422,103.0199,146.1882,318.8615,73.8142,6.0952
2016-07-01 17:00:00,131.2333,517.2998,37.0472,13.9027,17.4434,133.4258,168.0324,125.4242,146.0282,623.0802,88.8171,135.6262,312.8604,70.6136,4.8079
2016-07-01 18:00:00,133.5458,499.5964,37.3672,12.1023,13.1225,133.4258,162.2713,121.4234,145.6281,620.9198,90.6175,129.1449,320.8619,69.6134,4.7069
2016-07-01 19:00:00,127.7006,488.1942,37.2072,13.1025,12.9225,133.4258,171.8732,119.223,146.8283,606.5971,92.1178,132.5056,331.664,68.2132,4.2388
2016-07-01 20:00:00,151.2602,479.6926,37.2072,11.0021,13.5226,133.4258,171.233,117.2226,145.22799999999998,607.4772,89.4173,131.7854,325.2628,68.4132,4.1858
2016-07-01 21:00:00,145.8962,476.892,37.9273,9.7019,11.8823,133.4258,167.7124,120.4233,150.429,600.4759,105.3203,148.3486,330.4638,70.0135,4.2958
2016-07-01 22:00:00,137.8446,471.691,39.2076,8.9017,11.4422,133.4258,167.0722,108.821,151.6292,601.4761,101.2195,128.9049,324.4626,69.4134,4.1838
2016-07-01 23:00:00,96.6286,466.9901,39.6876,7.8015,11.9223,133.4258,171.5531,105.8204,150.0289,602.9163,77.4149,102.0197,235.6455,71.4138,4.3458
2016-07-02 00:00:00,95.9485,464.9897,39.2876,10.502,11.2022,133.4258,170.2728,94.2182,149.2288,601.076,82.3159,106.5806,187.6362,73.2141,4.1578
2016-07-02 01:00:00,95.1223,463.9895,39.6076,9.7019,10.522,133.4258,171.8732,95.2184,149.2288,603.4764,83.5161,106.8206,180.8349,73.6142,4.0968
2016-07-02 02:00:00,94.6783,464.8897,41.0479,7.5014,11.5222,133.4258,176.354,91.8177,149.6289,601.116,83.4161,95.5384,198.0382,74.6144,4.0628
